question_number,statement,question_a,question_b,question_c,question_d,question_e,source,answer
19,"“Grandes Navegações” é a expressão usada para se falar da exploração do Oceano Atlântico, 
feita de maneira pioneira por Portugal e Espanha ao longo dos séculos XV e XVI. O pioneirismo 
foi resultado de condições políticas, comerciais e geográﬁcas especíﬁcas destes países. 
Com o tempo, outros países da Europa também se lançaram à exploração do Oceano Atlântico.
Entre as consequências das Grandes Navegações, estão","o domínio espanhol nos oceanos Atlântico e Pacíﬁco; e a imposição de condições políticas, comerciais 
e geográﬁcas especíﬁcas para as colônias","a colonização da Antártida; e a descoberta de territórios desabitados no hemisfério Sul, como a 
Oceania","a assinatura do Tratado de Madri; e a disputa pelas ilhas do Pacíﬁco, travada entre Portugal e 
Espanha",o avanço da Inglaterra sobre os territórios conquistados pelos portugueses; e a Guerra dos Cem Anos,a assinatura do Tratado de Tordesilhas; e a chegada dos portugueses ao território do atual Brasil,Vestibulinho 1SEM2023,E
20,"Há milhares de anos, o transporte marítimo tem sido fundamental para o comércio. Hoje a maior parte 
do comércio internacional é feita por vias marítimas.
Os gráﬁcos apresentam a participação 
dos meios de transporte no comércio 
mundial. Esses dados são obtidos de 
acordo com o uso de cada um deles no 
translado das exportações.
Analisando os gráﬁcos, o percentual do 
comércio mundial realizado por meio de 
transporte marítimo,","em 2010, foi maior que o dobro da 
soma dos percentuais do transporte 
aéreo e dos outros transportes","em 2010, foi igual ao triplo daquele 
registrado pelos outros meios de 
transporte","de 2010 para 2019, aumentou 
10,5%, 
ultrapassando 
aquele 
efetuado por meio do transporte 
aéreo","em 2019, foi superior ao quíntuplo 
daquele registrado por meio de 
transporte aéreo","em 2019, foi 14% menor que a 
soma dos percentuais do transporte 
aéreo e dos outros transportes",Vestibulinho 1SEM2023,A
21,"De acordo com o texto, é correto aﬁrmar que","glândula tireoide sintetiza hormônios sem a utilização do micronutriente iodo, a ﬁ m de garantir a 
manutenção da temperatura corporal e a ocorrência de bócio ou papo","os hormônios T3 e T4, produzidos pela tireoide, prejudicam o crescimento físico e neurológico, 
assim como a manutenção do ﬂ uxo normal de energia no corpo","a iodação do sal para consumo humano no Brasil deve ser suspensa, principalmente para crianças 
e idosos, a ﬁ m de manter a baixa prevalência de DDI","o uso de sal de cozinha iodado e o alto consumo de alimentos de origem marinha, além de leite, 
ovos e algumas frutas, estão entre as causas do aumento dos casos de DDI","uma criança com deﬁ ciência de iodo pode apresentar, em seu desenvolvimento, baixo crescimento 
dos ossos e deﬁ ciência intelectual",Vestibulinho 1SEM2023,E
22,"O texto menciona a obtenção de um produto usado no preparo de alimentos. Esse produto é obtido 
por processo","físico, denominado vaporização","físico, denominado ﬁltração","físico, denominado decantação","químico, denominado evaporação","químico, denominado ebulição",Vestibulinho 1SEM2023,A
23,"A Agência Nacional de Vigilância Sanitária (Anvisa) é quem estabelece a faixa de iodação 
do sal de cozinha no Brasil. Essa adição deve ﬁcar entre 15 e 45 miligramas por quilograma 
de sal de cozinha, NaC.
No preparo de um alimento, foi adicionado 1,5 g de NaC. De acordo com o valor estabelecido pela 
Anvisa para a iodação do sal de cozinha, a quantidade mínima de iodo, em mg, adicionada ao
alimento, foi","0,01","0,02","1,50","3,00","4,50",Vestibulinho 1SEM2023,B
24,"O iodo é um elemento químico que apresenta número de massa 127 e número atômico 53.
 
Na Química, pode ser representado da seguinte maneira: .
I
127
53
A partir das informações dadas para o elemento iodo, pode-se aﬁrmar, corretamente, que apresenta",53 prótons,53 nêutrons,74 elétrons,74 prótons,127 nêutrons,Vestibulinho 1SEM2023,A
25,"Leia os quadrinhos.
O humor dos quadrinhos está relacionado a duas possíveis interpretações para a palavra “pressão”: 
no sentido denotativo, refere-se à força aplicada pela coluna de água sobre o peixe-gota; e no, sentido 
conotativo, representa",a aparência do peixe-gota quando ele está dentro da água,o aspecto harmonioso do peixe-gota quando ele está fora d’água,a aparência gelatinosa que o peixe-gota assume para afastar seus predadores,a necessidade de se adequar a padrões de beleza impostos pela sociedade,a dilatação sofrida por um corpo quando ele se encontra no fundo do oceano,Vestibulinho 1SEM2023,D
26,"Além de fonte de alimento, o oceano pode ser tanto fonte de minérios (petróleo e gás) quanto 
de energia limpa (ventos e ondas), que devem ser racionalmente explorados de forma a se 
compartilharem amplamente os benefícios com a sociedade. O desenvolvimento de uma economia 
do oceano depende da segurança de quem trabalha nele, como pescadores e marinheiros; 
ou do que é inﬂuenciado por ele, como o turismo realizado na zona costeira. Para que aconteça 
o uso sustentável do oceano, é fundamental que tenhamos capacidade de prever o complexo 
comportamento do bioma marinho, o que depende da geração e do compartilhamento de dados. 
Logo, o conhecimento sobre o maior ambiente da Terra deve ser amplamente disseminado para 
que a sociedade entenda sua importância, inspire-se e se envolva em sua proteção.
De acordo com o texto, é correto aﬁrmar que","a importância dos trabalhadores nos oceanos é mínima, uma vez que todas as tarefas são 
realizadas efetivamente por máquinas e equipamentos modernos","os benefícios proporcionados pelos oceanos devem ser apropriados pela Organização das Nações 
Unidas, que é a responsável pela ﬁscalização desse ambiente","as riquezas existentes nos oceanos devem ser exploradas por empresas privadas, a ﬁm de impedir 
que empresas estatais se apropriem desses bens","o conhecimento que se tem sobre os oceanos deve ser disseminado entre as pessoas devido à 
importância que esse ambiente possui","o entendimento sobre os oceanos deve ﬁcar armazenado nas universidades públicas para beneﬁciar 
as empresas petrolíferas",Vestibulinho 1SEM2023,D
27,"Já em torno do ano 3000 antes de Cristo, na chamada Idade do Bronze, havia um intenso contato 
entre as várias culturas que habitavam a Europa, o norte da África e partes do Oriente Médio. 
O Mediterrâneo era o principal meio de interação entre esses povos, que se deslocavam mais 
por aquele mar do que por vias terrestres, tanto que ele é chamado de “cimento líquido” pelo 
historiador francês Michel Gras. Dada essa forte interação, é preciso ter a percepção de que as 
culturas antigas – grega, fenícia, egípcia e outras – não são “puras”, mas frutos de um conjunto 
de intersecções.
Segundo o texto,","o historiador francês Michel Gras chamava o mar Mediterrâneo de “cimento líquido” porque 
ele era uma barreira intransponível para os povos europeus","embora estabelecessem contatos comerciais, os vários povos que habitavam o continente europeu 
se mantiveram incomunicáveis pelo mar Mediterrâneo","os diferentes povos que habitavam a Europa utilizavam preferencialmente as rotas terrestres para 
seus deslocamentos pelo continente","o mar Mediterrâneo foi largamente navegado pelos povos antigos, que estabeleceram contatos e 
miscigenaram suas culturas","devido à sua forte interação, os vários povos antigos mantiveram a pureza de suas tradições e 
de suas culturas",Vestibulinho 1SEM2023,D
28,"Durante um mergulho profundo, uma das preocupações dos mergulhadores está relacionada 
ao processo de respiração, que depende de fatores como a profundidade e a composição da 
mistura gasosa no cilindro.
Ao mergulhar, uma pessoa ﬁca sujeita a uma pressão hidrostática que aumenta em 
1 atmosfera (atm) a cada 10 metros afundados. Esse valor deve ser somado à pressão 
atmosférica ao nível do mar, que também vale 1 atm. O aumento de pressão interfere no 
processo de respiração, pois, para o mergulhador ser capaz de respirar, a pressão do ar 
respirado precisa ser comparável à pressão a que ele está sujeito. Por esse motivo, os 
mergulhadores utilizam cilindros de ar comprimido, nos quais a pressão do ar pode ser tão alta 
quanto a pressão do local em que o mergulhador estiver.
Considere um mergulho no qual o mergulhador encontra-se a 40 metros abaixo da superfície do mar. 
Nessa situação, a pressão do gás no interior do cilindro deve ser ajustada, em atm, para o valor de",3,4,5,6,7,Vestibulinho 1SEM2023,C
29,"Na superfície, o ar respirado é uma mistura principalmente dos gases nitrogênio e 
oxigênio. Embora, durante o mergulho, o oxigênio seja continuamente utilizado pelo nosso 
organismo, gases que normalmente são inertes (como o nitrogênio e o hélio) também 
se dissolvem e se acumulam no sangue e nos tecidos. Conforme o mergulhador retorna 
à superfície, há a diminuição da pressão cuja variação, se for muito rápida, pode levar 
os gases acumulados a formar bolhas que podem se expandir, lesionar tecidos e obstruir 
vasos sanguíneos, resultando em um quadro conhecido como a “doença da descompressão”.
Para evitar essa “doença”, a atitude mais cautelosa que um mergulhador deve tomar é",mergulhar o mais fundo possível antes de retornar à superfície,realizar exames médicos para checar a pressão sanguínea antes de mergulhar,subir até a metade do caminho e aumentar a velocidade de subida na metade ﬁnal,subir rapidamente até o nível do mar para diminuir a pressão o mais rápido possível,subir lentamente até o nível do mar para que a pressão varie o mínimo possível ao longo do tempo,Vestibulinho 1SEM2023,E
30,"Não é na manufatura e, sim, na indústria do transporte que iremos encontrar os resultados mais 
expressivos da inﬂuência concentradora da maquinaria. A substituição da carroça e da diligência 
pela estrada de ferro, do barco à vela pelo navio a vapor, evidencia o maior avanço do capitalismo 
moderno.
HOBSON, John A.; A evolução do capitalismo moderno: um estudo da produção mecanizada. São Paulo: Ed. Nova Cultural, 1996. P. 130.
No contexto da Segunda Revolução Industrial, o desenvolvimento dos navios a vapor","provocou um processo de ruralização da população mundial, antes concentrada nas grandes cidades, 
por permitir o contato rápido entre partes distantes do globo","diminuiu o tempo do transporte de matérias-primas e mercadorias, barateou o preço do frete e 
possibilitou a expansão dos mercados consumidores ao ligar diferentes partes do globo","concentrou a produção industrial nas manufaturas dos países periféricos do continente africano e 
possibilitou o aproveitamento da oferta de mão de obra barata e qualiﬁcada","favoreceu o desenvolvimento do ramo do turismo e, associado à conquista de direitos 
trabalhistas como férias pelos operários escravizados, foi responsável pelo aumento da circulação de 
pessoas nos cinco continentes","reorientou a economia inglesa, que passou a se dedicar majoritariamente à produção de insumos para 
a indústria naval, em detrimento da produção de tecidos e outras mercadorias que caracterizaram a 
Primeira Revolução Industrial",Vestibulinho 1SEM2023,B
31,"Se um golﬁnho emitir ondas sonoras com frequência de 100 000 Hz, ele será capaz de perceber objetos 
que tenham dimensões, em metros, a partir de","0,014","0,070","0,010","0,200","1,000",Vestibulinho 1SEM2023,A
32,"Além de possibilitar a identiﬁcação de objetos em regiões de pouca iluminação, o sistema de ecolocalização 
tem um tempo de resposta curto, o que permite aos animais, como o golﬁnho, movimentarem-se com 
agilidade, facilitando a obtenção de alimentos e a fuga de predadores.
Considerando a velocidade de propagação da onda sonora na água, o intervalo de tempo entre um 
golﬁnho emitir uma onda sonora, esta reﬂetir em um peixe localizado a 140 metros de distância e o golﬁnho 
detectar o seu eco é, em segundos, de
id d
d
ã
d
d
á
i t
l
d","0,1","0,2","0,3","0,4","0,5",Vestibulinho 1SEM2023,B
33,"Iemanjá, divindade africana cuja data é celebrada em 2 de fevereiro, é a rainha das águas. 
Aqueles que a cultuam acreditam que ela é também uma ﬁgura materna, que irmana todas 
as pessoas.
Em terras brasileiras, ela ganhou um signiﬁcado que remete à ancestralidade.
Aﬁnal, se entendermos as costas brasileira e africana como duas margens do mesmo imenso 
Oceano Atlântico, é Iemanjá quem promove a união, por ser ela a divindade das águas.
Assim como diversos outros aspectos das culturas africanas, o culto a Iemanjá existe no Brasil devido","aos processos de deslocamentos populacionais que levaram milhares de brasileiros para o continente 
africano na segunda metade do século XVI","ao isolamento geográﬁco entre os dois territórios, separados por um imenso oceano que impediu os 
contatos entre as duas margens","à intolerância religiosa, que responsabiliza Iemanjá pelos processos históricos que possibilitaram a 
escravização de africanos","ao período imperial do Brasil que, quando governado por Iemanjá, anexou partes importantes do 
território africano","à escravização e ao tráﬁco de mão-de-obra africana para a realização dos mais diferentes trabalhos 
no Brasil",Vestibulinho 1SEM2023,E
34,Os trechos apresentados retratam um cenário caracterizado,"pela diversidade sociocultural, resultando em uma sociedade próspera","pela pobreza, reforçada pelas imagens do urubu e da sujeira",pelo uso recorrente da lama como matéria-prima para a indústria,pelo desenvolvimento urbano e socioambiental,pela riqueza de oportunidades ao indivíduo,Vestibulinho 1SEM2023,B
35,"Sobre os textos, é correto aﬁrmar que","são escritos em terceira pessoa, sem envolvimento do eu lírico nas ações representadas","as “asas” dos urubus, diferentemente das “asas” do eu lírico, representam restrição","as preposições “de” e “a”, na passagem “da lama ao caos”, indicam respectivamente origem e destino",“quanto” pode ser substituído por “embora” na passagem “quanto mais miséria tem”,o gerúndio em “pintando” e “segurando” expressa ações concluídas no passado,Vestibulinho 1SEM2023,C
36,"No texto, houve um erro de impressão, uma vez que, no lugar da mancha, deveria ter sido impresso 
um número.
Admita que esse número é a solução da equação: 4(n + 6) = 5n – (28 – 3n)
Assinale a alternativa que apresenta o valor que deveria estar no lugar onde aparece 
.",26,13,11,8,4,Vestibulinho 1SEM2023,B
37,"De acordo com o texto, é possível estimar que o comprimento médio dos cabos submarinos é, em 
quilômetros, igual a aproximadamente","3,0×104","3,0×103","3,0×102","3,0×101","3,0×100",Vestibulinho 1SEM2023,B
38,"Manguezais são ecossistemas de transição entre ambientes terrestre e aquático, especíﬁcos 
de regiões tropicais e subtropicais, sujeitos aos regimes das marés. No Brasil, ocupam uma área 
superior a 1 200000 hectares, que se estendem do litoral do Amapá até o de Santa Catarina.
A salinidade do solo provocada pelo encontro de águas do mar e do rio, assim como as cheias e 
as vazantes das marés trazem características singulares para essa vegetação. Em nosso litoral, 
os manguezais são formados basicamente por três espécies de mangue:
r O mangue-vermelho, ou sapateiro. Seu caule, se raspado, apresenta a cor vermelha, vindo 
daí o nome. É a espécie mais conhecida e de fácil identiﬁcação do litoral brasileiro. Foi muito 
utilizado em curtumes para tingimento de couros.
r O mangue-branco, chamado também de tinteira, localiza-se mais para o interior dos manguezais. 
A casca e as folhas dessa espécie podem ser usadas na medicina popular para tratar de diarreias.
r O mangue-preto, canoé, siriúba ou sereíba. É também conhecido pelo uso em construção 
de canoas de um único tronco.
Em comum, eles têm raízes pneumatóforas, ou respiratórias, ocorrem em áreas alagadiças e 
crescem verticalmente para que haja a troca gasosa com a atmosfera, quer dizer, para que as 
árvores respirem.
A importância da vegetação dos manguezais está, entre outros fatores, na redução de erosão 
marinha, uma vez que diminui o impacto de ondas maiores na costa litorânea, além de servir 
de berçário para a reprodução de muitas espécies marinhas.
Desde 1965, os manguezais são considerados áreas de preservação permanente em razão 
de sua importância ecológica. Desde o ano 2000, o dia 26 de julho foi escolhido como 
Dia Mundial de Proteção aos Manguezais.
Em relação aos ecossistemas citados no texto, é correto aﬁrmar que são","divididos basicamente em três espécies, sendo o mangue branco o mais conhecido, 
pois é utilizado como tintura para couros","importantes elementos facilitadores dos processos erosivos que ocorrem nas regiões costeiras, em
função de ações das correntes marítimas","ambientes costeiros que apresentam raízes aéreas e que existem exclusivamente nos estados 
do Amapá e de Santa Catarina","áreas de proteção permanente, além de serem fundamentais para a reprodução de diversas espécies 
de peixes e crustáceos","encontrados nas regiões litorâneas do Brasil, principalmente nos estados de Tocantins e Goiás",Vestibulinho 1SEM2023,D
39,"Considere o mapa.
O evento histórico retratado no mapa é","o Bloqueio Continental, decretado por Napoleão Bonaparte em 1806","a Guerra da Argélia, que culminou na independência do país africano em 1962","o ataque do Terceiro Estado contra Luís XVI, na Revolução Francesa, em 1789","o Desembarque de tropas dos países aliados na Normandia, litoral da França, em 1944","a Guerra Franco-Prussiana, que colocou ﬁm ao processo de Uniﬁcação Alemã em 1871",Vestibulinho 1SEM2023,D
40,"Leia a tirinha.
No último quadro da tirinha, é possível observar um grupo de peixes de tamanhos diversos, duas plantas 
aquáticas e duas conchas de formatos diferentes.
Considere que você irá retirar do aquário um único peixe, uma única planta e uma única concha nessa 
ordem. Diante disso, então o total de maneiras de realizar essa ação é",96,32,12,10,"4.
Exame: 18/12/2022 
(domingo), às 8h
Vestibulinho
1 o SEM/2023
FOLHA DE RESPOSTAS INTERMEDIÁRIAS
Nome do(a)
 candidato(a): ___________________________________________________________________ Nº de inscrição: ______________________
Prezado(a) candidato(a),
1. Responda a todas as questões contidas neste caderno e, depois, transcreva as alternativas assinaladas
para esta Folha de Respostas Intermediária.
2. Preencha os campos desta Folha de Respostas Intermediária, conforme o modelo a seguir:
A
B
D
E
3. Não deixe questões em branco.
4. Marque com cuidado e assinale apenas uma resposta para cada questão.
5. Posteriormente, transcreva todas as alternativas assinaladas nesta Folha de Respostas Intermediária
para a Folha de Respostas Deﬁ nitiva, utilizando caneta esferográﬁ ca de tinta preta ou azul.
PROVA (40 RESPOSTAS)
RESPOSTAS de 01 a 10
RESPOSTAS de 11 a 20
RESPOSTAS de 21 a 30
RESPOSTAS de 31 a 40
01
11
21
31
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
02
12
22
32
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
03
13
23
33
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
04
14
24
34
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
05
15
25
35
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
06
16
26
36
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
07
17
27
37
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
08
18
28
38
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
09
19
29
39
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
10
20
30
40
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
A
C
B
D
E
NÃO AMASSE, NÃO DOBRE, NEM RASURE ESTA FOLHA.
NÃO AMASSE, NÃO DOBRE, NEM RASURE ESTA FOLHA.
Powered by TCPDF (www.tcpdf.org)",Vestibulinho 1SEM2023,B
1,"Com base no texto e com o auxílio do mapa, é correto afirmar que",a Amazônia Internacional é administrada pelo Instituto Brasileiro de Geografia e Estatística (IBGE),os estados da Região Norte do Brasil estão totalmente inseridos na Amazônia Legal,"o estado do Maranhão, por pertencer à Região Norte, faz parte da Amazônia Legal",a bacia hidrográfica do Amazonas engloba todos os rios da América do Sul,o Bioma Amazônia se estende da Venezuela até o sul da Argentina,Vestibulinho 1SEM2024,B
2,A Amazônia Legal,abrange todos os estados da Região Centro-Oeste do Brasil,localiza-se totalmente no hemisfério sul da Terra,engloba a maior parte do Bioma Amazônia,inclui todas as reservas indígenas existentes no Brasil,"avança sobre o polígono das secas, no Nordeste brasileiro",Vestibulinho 1SEM2024,C
3,"Apesar de ser um maciço florestal contínuo, a Floresta Amazônica, por sua grande extensão, é composta 
por estratos, cada um com características que os diferenciam uns dos outros.
Ela está subdivida em","floresta aciculifoliada, mata de transição e mata ciliar","mata de igapó, mata de várzea e mata de terra firme","restinga, campos limpos e mata dos cocais","pantanal, cerrado e floresta de araucária","caatinga, campos sujos e manguezais",Vestibulinho 1SEM2024,B
4,"Considerando o tipo de vegetação, é correto afirmar que o Bioma Amazônia se caracteriza, principalmente, 
por apresentar","gramíneas e plantas arbustivas; árvores de pequeno e médio porte, com folhas transformadas em 
espinhos para diminuir a transpiração e caules suculentos que armazenam água","plantas, que se desenvolvem em solos lamacentos e salgados, com troncos finos, cujas raízes se 
adaptam à fixação e se elevam à superfície para permitir a respiração","plantas herbáceas e arbustivas que compõem os campos; árvores de médio porte, geralmente com 
troncos grossos e retorcidos, folhas de superfície reduzida e raízes profundas","árvores de médio e grande porte, com folhas largas e perenes; vários tipos de flores e frutos; 
além de diversos tipos de arbustos, trepadeiras, cipós e planta epífitas","gramíneas; plantas herbáceas; leguminosas; algumas árvores de pequeno porte; além da presença 
de matas ciliares e algumas árvores decíduas",Vestibulinho 1SEM2024,D
5,"Segundo a letra da canção,","a falta de mobilização dos povos originários para proteger os biomas mencionados resulta 
do curto período de convivência com a floresta","a destruição da Floresta Amazônica gera prejuízos à vida animal e à vegetal, amenizando os impactos 
na vida e na cultura daqueles que a habitam","os povos originários aliaram-se recentemente aos guardiões da floresta, quando houve um 
recrudescimento trágico do desmatamento","a Amazônia é alvo de exploração pelo caráter único de suas riquezas, ação facilitada pela ausência 
de medidas efetivas de proteção","os ataques à Floresta Amazônica, além de esporádicos, acarretam consequências reversíveis e 
restritas à fauna local",Vestibulinho 1SEM2024,D
6,"Sobre os recursos gramaticais utilizados na construção do texto, é correto afirmar que","os termos “porém” (v. 5), “pois” (v. 8) e “todavia” (v. 9) têm o mesmo sentido","os pronomes “seus” (v. 24) e “eles” (v. 25) se referem à mesma ideia, mencionada anteriormente no 
texto","os dois-pontos, utilizados nos versos 4 e 9, introduzem uma justificativa para os fatos apresentados","o vocábulo “que”, nos versos 7 e 8, retoma “mundo” e “vida” respectivamente","os pronomes “seu” (v. 17) e “deles” (v. 21) antecipam uma informação posteriormente apresentada 
no texto",Vestibulinho 1SEM2024,B
7,"Na letra dessa canção, ocorre","metáfora no trecho “contra trator, corrente, motosserra”, verso 03, pois os objetos listados simbolizam 
a superação da floresta contra as ameaças externas","antítese entre “beleza” e “valor”, verso 6, pois são termos de sentido oposto","paronomásia no excerto “tanta insânia e tanta insônia”, verso 12, pois se aproximam termos com 
sons semelhantes e sentidos diferentes","paradoxo em “nos últimos e trágicos decênios”, verso 19, pois o conceito de “trágico” anula a ideia de 
novidade, expressa pelo termo “últimos”","personificação na passagem “eles não pensam”, verso 25, pois se atribui a capacidade de pensar a 
seres inanimados",Vestibulinho 1SEM2024,C
8,"Nos rios que cortam a Floresta Amazônica, são encontradas várias espécies de vertebrados, como, por 
exemplo, o pirarucu, o poraquê (peixe elétrico), a arraia (ou raia), o tucunaré, o peixe-boi e o boto-cor-de-rosa. 
Este último é conhecido por ser personagem de uma lenda do folclore brasileiro.
Com relação a todos os animais citados, é correto afirmar que","realizam as trocas gasosas por meio de um par de pulmões do tipo alveolar com paredes muito 
delgadas",conseguem manter a temperatura corporal constante apesar de alterações da temperatura ambiental,"dependem de oxigênio, que é usado na oxidação de moléculas orgânicas, como a glicose, a fim de 
obter energia","apresentam fecundação externa, com desenvolvimento indireto por meio de fase larval, seguida de 
metamorfose","possuem bexiga natatória, que é um órgão responsável pela manutenção do equilíbrio hidrostático",Vestibulinho 1SEM2024,C
9,"De acordo com o texto, é correto afirmar que",a floresta Amazônica brasileira tem 670 milhões de hectares,a maior floresta tropical do mundo está localizada totalmente em território brasileiro,o Brasil pode comprar créditos de carbono para custear a Floresta Amazônica,"países que emitem gases do efeito estufa em excesso podem adquirir créditos de carbono como 
forma de compensação","cada tonelada de gases do efeito estufa não emitida, como dióxido de carbono e metano, equivale a 
1 crédito de carbono",Vestibulinho 1SEM2024,D
10,"Considere os números destacados em negrito no texto e assinale a alternativa que apresenta, em notação 
científica, o seu produto.","1,0 × 1014","1,0 × 1013","1,0 × 1012","1,0 × 1011","1,0 × 1010",Vestibulinho 1SEM2024,D
11,"De acordo com o texto, a quantidade de créditos de carbono gerada pela parte brasileira da Floresta 
Amazônica seria, aproximadamente, de",402 milhões,402 bilhões,670 milhões,12 060 bilhões,12 060 milhões,Vestibulinho 1SEM2024,E
12,"O mapa representa diferentes movimentos de ocupação de parte da América do Sul, cujo território foi 
disputado por Espanha e Portugal nos dois primeiros séculos da colonização europeia.
De acordo com a representação, é correto afirmar que","as missões jesuíticas não só demarcavam os limites entre as possessões espanhola e portuguesa, 
mas também garantiam a posse da Amazônia para a Espanha","a ocupação da América Portuguesa ocorreu na costa atlântica, em detrimento da região da Amazônia, 
que permaneceu despovoada até o final do século XVII","a integração da Amazônia ao território da colônia portuguesa está relacionada à presença de missões 
jesuíticas e de expedições para escravização de indígenas","as expedições de apresamento se estabeleceram na Amazônia Espanhola, e, de lá, partiram para o 
leste a fim de escravizar os indígenas que viviam na colônia portuguesa","a presença de missões jesuíticas portuguesas na Amazônia indica que essa região pertencia a 
Portugal, de acordo com os tratados internacionais vigentes no período colonial",Vestibulinho 1SEM2024,C
13,"Suponha que um caçador mal-intencionado seja perseguido pelo Curupira. Ele parte de um ponto P na 
floresta, caminha 6 km a leste e 16 km para sul, quando percebe que está em uma clareira. Para sair da 
floresta, ele então caminha 10 km para leste e 4 km para o norte, chegando ao acampamento A.
Logo, é correto afirmar que a distância (em linha reta), em quilômetros, entre o ponto P e o 
acampamento A, é igual a",18,20,26,28,32,Vestibulinho 1SEM2024,B
14,"Com base no texto, o gênero textual abordado cumpre a função social de","colocar em destaque a revolução promovida pela tecnologia digital, já que essa mudança padroniza 
e limita a forma de aprender do estudante","debater sobre os movimentos migratórios, cada vez maiores no nosso país, os quais prejudicam o 
surgimento de culturas novas na sociedade","discutir as mudanças no núcleo familiar devido à dedicação exclusiva dos responsáveis a atividades 
profissionais, prejudicando a comunicação com as gerações mais jovens","valorizar as identidades construídas ao longo do tempo, ao perceber que muitas pessoas passaram 
pelo mundo, deixando ensinamentos e experiências","visualizar as mudanças laborais, uma vez que está cada vez mais fácil conseguir um trabalho formal 
na área de caça, pesca e apreensão de animais em áreas protegidas",Vestibulinho 1SEM2024,D
15,"De acordo com o texto, os ensinamentos e as histórias dos povos da Região Amazônica são transmitidos 
por meio de fontes",escritas,iconográficas,materiais,orais,arqueológicas,Vestibulinho 1SEM2024,D
16,"A formação da imagem da Lua, vista por Naiá, é justificada pelo fenômeno óptico da","refração da luz, proveniente da Lua, no fundo do lago",ilusão de óptica criada pelo movimento das águas do lago,"reflexão dos raios de luz, provenientes da Lua, pela superfície do lago","absorção dos raios de luz, provenientes da Lua, pela superfície do lago","projeção holográfica dos raios de luz, provenientes da Lua, na superfície do lago",Vestibulinho 1SEM2024,C
17,"A capacidade de flutuação das folhas da vitória-régia é resultado de diversas adaptações evolutivas para 
sobreviver em ambientes aquáticos: a forma circular contribui para que haja uma distribuição uniforme do 
peso e, principalmente, suas folhas têm uma série de compartimentos cheios de ar nos tecidos vegetais, 
o que as ajuda a manter sua flutuação.
Essas adaptações podem ser comparadas ao uso de",pés de pato por mergulhadores,sinalizadores em barcos de passeio,toucas de natação por competidores olímpicos,coletes salva-vidas infláveis por pessoas que não sabem nadar,roupas de neoprene por surfistas durante as competições no mar,Vestibulinho 1SEM2024,D
18,"No final do século XIX, eclodiu uma rebelião no Acre, que se prolongou por alguns anos e, ante a ameaça 
de uma intervenção direta do governo brasileiro, foi firmado o Tratado de Petrópolis entre os governos 
da Bolívia e do Brasil, em 1903. Foi por isso que a Bolívia cedeu o território do Acre ao Brasil em troca 
de dois milhões de libras esterlinas; e o governo brasileiro se comprometeu a construir a estrada de ferro 
Madeira – Mamoré.
Sobre esse estado da federação, é correto afirmar que nele se encontra o ponto","central Geodésico do território brasileiro, localizado em sua capital","mais ocidental do território brasileiro, a nascente do Rio Moa","mais setentrional do território brasileiro, a nascente do Rio Ailã","mais oriental do território brasileiro, a Ponta do Seixas","mais meridional do território brasileiro, o Arroio Chuí",Vestibulinho 1SEM2024,B
19,"Segundo o texto,","os anciões indígenas decidiram expor seus conhecimentos por meio de ideogramas devido à 
limitação cultural dos não indígenas","o povo Yanomami garante bem-estar social duradouro para as próximas gerações ao seguir os 
padrões de vida dos brancos","a exploração da caça e da pesca realizada pelos Yanomami é fruto do contato com o saber trazido 
pelos brancos colonizadores","a forma de divulgação da cultura dos povos originários para o restante da sociedade deve 
restringir-se à oralidade",o equilíbrio na relação entre natureza e homem é base e garantia da manutenção da cultura Yanomami,Vestibulinho 1SEM2024,E
20,Assinale a alternativa que apresenta uma reescrita correta e coerente do trecho sublinhado no texto.,"Acredito que, caso vivamos em cidades, seríamos infelizes, já que haveria o fim da floresta e, então, 
não deixarão lugar onde poderemos viver distante deles","Como fomos viver em cidades, somos infelizes, pois os brancos acabam com a floresta 
e não deixaram lugar onde pudéssemos viver distante deles","E reconheço que, caso fôssemos viver em suas cidades, seríamos infelizes; eles acabariam, pois, 
com a floresta e não deixariam lugar onde pudéssemos viver distante deles","Ainda que fôssemos viver nas cidades dos brancos, não seremos felizes, pois eles acabaram com a 
floresta e não deixariam lugar onde poderíamos viver distante deles","Afirmo até que, ao irmos viver nas cidades, seremos infelizes, posto que eles acabam com a floresta 
e não deixam lugar onde pudemos viver distante deles",Vestibulinho 1SEM2024,C
